experiment_id,image_id,condition,psnr,ssim,face_similarity,watermark_detected,watermark_confidence,code_correct,env_deepshield_version,env_git_commit,env_python,env_platform,env_numpy,env_random_seed,env_device,env_face_detector,env_face_aligner,env_face_embedder,env_deepfake_detector,env_watermark_backend,env_watermark_strength,env_recorded_at
combined_protection,curie_1.jpg,original,,1.0,1.0000001192092896,False,0.024842,False,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:31:54.255830+00:00
combined_protection,curie_1.jpg,watermark_only,39.0836,0.9169,0.9922091960906982,True,1.0,True,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:31:54.255830+00:00
combined_protection,curie_1.jpg,adversarial_only,34.4672,0.893841,0.9812228679656982,False,0.02319,False,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:31:54.255830+00:00
combined_protection,curie_1.jpg,watermark_and_adversarial,32.6093,0.828933,0.9713367223739624,True,1.0,True,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:31:54.255830+00:00
combined_protection,curie_2.jpg,original,,1.0,0.9999999403953552,False,0.026765,False,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:31:54.255830+00:00
combined_protection,curie_2.jpg,watermark_only,39.1049,0.910086,0.9950360655784607,True,1.0,True,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:31:54.255830+00:00
combined_protection,curie_2.jpg,adversarial_only,34.4813,0.88466,0.9839719533920288,False,0.021447,False,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:31:54.255830+00:00
combined_protection,curie_2.jpg,watermark_and_adversarial,32.7018,0.81715,0.9855906963348389,True,1.0,True,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:31:54.255830+00:00
combined_protection,einstein_1.jpg,original,,1.0,1.0,False,0.01466,False,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:31:54.255830+00:00
combined_protection,einstein_1.jpg,watermark_only,39.0408,0.933616,0.9883317947387695,True,1.0,True,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:31:54.255830+00:00
