experiment_id,image_id,transformation,transformation_type,parameters,face_detected,face_similarity,recognition_success,candidate_threshold,psnr,ssim,env_deepshield_version,env_git_commit,env_python,env_platform,env_numpy,env_random_seed,env_device,env_face_detector,env_face_aligner,env_face_embedder,env_deepfake_detector,env_watermark_backend,env_watermark_strength,env_recorded_at
face_recognition_robustness,curie_1.jpg,jpeg_q90,jpeg_compression,{'quality': 90},True,0.996996,True,0.4359,49.541,0.991428,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,curie_1.jpg,jpeg_q70,jpeg_compression,{'quality': 70},True,0.987721,True,0.4359,40.6411,0.943592,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,curie_1.jpg,jpeg_q50,jpeg_compression,{'quality': 50},True,0.985586,True,0.4359,39.0374,0.920455,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,curie_1.jpg,resize_75,resize,{'scale': 0.75},True,0.997538,True,0.4359,44.9518,0.981891,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,curie_1.jpg,resize_50,resize,{'scale': 0.5},True,0.994881,True,0.4359,40.4635,0.951555,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,curie_1.jpg,resize_25,resize,{'scale': 0.25},True,0.974904,True,0.4359,36.0417,0.89154,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,curie_1.jpg,crop_10,crop,{'ratio': 0.1},True,0.963752,True,0.4359,14.3333,0.599924,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,curie_1.jpg,crop_30,crop,{'ratio': 0.3},False,,,0.4359,10.3183,0.476587,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,curie_1.jpg,rotate_5,rotation,{'degrees': 5},True,0.972005,True,0.4359,19.0721,0.637791,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,curie_1.jpg,blur_1,blur,{'sigma': 1.0},True,0.981111,True,0.4359,39.7878,0.954134,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,curie_1.jpg,noise_5,noise,{'sigma': 5.0},True,0.984762,True,0.4359,34.1058,0.88598,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,curie_1.jpg,brightness_up,brightness,{'factor': 1.2},True,0.97198,True,0.4359,25.3264,0.974824,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,curie_1.jpg,contrast_down,contrast,{'factor': 0.8},True,0.988646,True,0.4359,28.0917,0.977738,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,curie_1.jpg,webp_q80,webp,{'quality': 80},True,0.979058,True,0.4359,40.1309,0.933519,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,curie_1.jpg,screenshot,screenshot_simulation,"{'scale': 0.9, 'quality': 85}",True,0.996973,True,0.4359,43.9467,0.974938,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,curie_2.jpg,jpeg_q90,jpeg_compression,{'quality': 90},True,0.990451,True,0.4359,47.7015,0.986697,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,curie_2.jpg,jpeg_q70,jpeg_compression,{'quality': 70},True,0.994953,True,0.4359,45.1307,0.978074,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,curie_2.jpg,jpeg_q50,jpeg_compression,{'quality': 50},True,0.997238,True,0.4359,43.4881,0.970357,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,curie_2.jpg,resize_75,resize,{'scale': 0.75},True,0.998389,True,0.4359,49.6915,0.991963,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
