experiment_id,image_id,transformation,transformation_type,parameters,watermark_detected,watermark_confidence,bit_accuracy,recovered_code,code_correct,false_attribution,embed_psnr,embed_ssim,psnr_after_transform,env_deepshield_version,env_git_commit,env_python,env_platform,env_numpy,env_random_seed,env_device,env_face_detector,env_face_aligner,env_face_embedder,env_deepfake_detector,env_watermark_backend,env_watermark_strength,env_recorded_at
watermark_robustness,angela_bassett_0.png,rotate_10,rotation,{'degrees': 10},True,0.944661,0.46875,e5d9a535,True,False,35.9686,0.923166,11.3603,0.1.0,3bcc6070f94e514764d324e397d61505df92186c,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.3,42,cpu,opencv_yunet,landmark,insightface,spectral,dct,0.16,2026-09-13T09:31:58.154024+00:00
watermark_robustness,angela_bassett_0.png,rotate_10_crop_10,rotate_crop,"{'degrees': 10, 'ratio': 0.1}",True,0.965278,0.546875,e5d9a535,True,False,35.9686,0.923166,10.7751,0.1.0,3bcc6070f94e514764d324e397d61505df92186c,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.3,42,cpu,opencv_yunet,landmark,insightface,spectral,dct,0.16,2026-09-13T09:31:58.154024+00:00
watermark_robustness,angela_bassett_0.png,rotate_15,rotation,{'degrees': 15},True,0.921224,0.46875,e5d9a535,True,False,35.9686,0.923166,10.1494,0.1.0,3bcc6070f94e514764d324e397d61505df92186c,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.3,42,cpu,opencv_yunet,landmark,insightface,spectral,dct,0.16,2026-09-13T09:31:58.154024+00:00
watermark_robustness,angela_bassett_0.png,rotate_2,rotation,{'degrees': 2},True,0.998047,0.40625,e5d9a535,True,False,35.9686,0.923166,18.1339,0.1.0,3bcc6070f94e514764d324e397d61505df92186c,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.3,42,cpu,opencv_yunet,landmark,insightface,spectral,dct,0.16,2026-09-13T09:31:58.154024+00:00
watermark_robustness,angela_bassett_0.png,rotate_20,rotation,{'degrees': 20},False,0.908203,0.46875,,False,False,35.9686,0.923166,9.4864,0.1.0,3bcc6070f94e514764d324e397d61505df92186c,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.3,42,cpu,opencv_yunet,landmark,insightface,spectral,dct,0.16,2026-09-13T09:31:58.154024+00:00
watermark_robustness,angela_bassett_0.png,rotate_25,rotation,{'degrees': 25},False,0.897135,0.421875,,False,False,35.9686,0.923166,9.0922,0.1.0,3bcc6070f94e514764d324e397d61505df92186c,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.3,42,cpu,opencv_yunet,landmark,insightface,spectral,dct,0.16,2026-09-13T09:31:58.154024+00:00
watermark_robustness,angela_bassett_0.png,rotate_30,rotation,{'degrees': 30},False,0.876302,0.421875,,False,False,35.9686,0.923166,8.8263,0.1.0,3bcc6070f94e514764d324e397d61505df92186c,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.3,42,cpu,opencv_yunet,landmark,insightface,spectral,dct,0.16,2026-09-13T09:31:58.154024+00:00
watermark_robustness,angela_bassett_0.png,rotate_5,rotation,{'degrees': 5},True,0.98763,0.515625,e5d9a535,True,False,35.9686,0.923166,13.9926,0.1.0,3bcc6070f94e514764d324e397d61505df92186c,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.3,42,cpu,opencv_yunet,landmark,insightface,spectral,dct,0.16,2026-09-13T09:31:58.154024+00:00
watermark_robustness,angela_bassett_0.png,rotate_5_crop_10,rotate_crop,"{'degrees': 5, 'ratio': 0.1}",True,0.996528,0.421875,e5d9a535,True,False,35.9686,0.923166,10.8701,0.1.0,3bcc6070f94e514764d324e397d61505df92186c,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.3,42,cpu,opencv_yunet,landmark,insightface,spectral,dct,0.16,2026-09-13T09:31:58.154024+00:00
watermark_robustness,angela_bassett_0.png,rotate_5_crop_20,rotate_crop,"{'degrees': 5, 'ratio': 0.2}",True,0.992188,0.46875,e5d9a535,True,False,35.9686,0.923166,8.9037,0.1.0,3bcc6070f94e514764d324e397d61505df92186c,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.3,42,cpu,opencv_yunet,landmark,insightface,spectral,dct,0.16,2026-09-13T09:31:58.154024+00:00
watermark_robustness,angela_bassett_1.png,rotate_10,rotation,{'degrees': 10},True,0.954427,0.46875,481157ba,True,False,35.8915,0.900467,13.9312,0.1.0,3bcc6070f94e514764d324e397d61505df92186c,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.3,42,cpu,opencv_yunet,landmark,insightface,spectral,dct,0.16,2026-09-13T09:31:58.154024+00:00
watermark_robustness,angela_bassett_1.png,rotate_10_crop_10,rotate_crop,"{'degrees': 10, 'ratio': 0.1}",True,0.972222,0.53125,481157ba,True,False,35.8915,0.900467,13.2916,0.1.0,3bcc6070f94e514764d324e397d61505df92186c,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.3,42,cpu,opencv_yunet,landmark,insightface,spectral,dct,0.16,2026-09-13T09:31:58.154024+00:00
watermark_robustness,angela_bassett_1.png,rotate_15,rotation,{'degrees': 15},True,0.928385,0.53125,481157ba,True,False,35.8915,0.900467,12.716,0.1.0,3bcc6070f94e514764d324e397d61505df92186c,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.3,42,cpu,opencv_yunet,landmark,insightface,spectral,dct,0.16,2026-09-13T09:31:58.154024+00:00
watermark_robustness,angela_bassett_1.png,rotate_2,rotation,{'degrees': 2},True,1.0,0.53125,481157ba,True,False,35.8915,0.900467,20.0853,0.1.0,3bcc6070f94e514764d324e397d61505df92186c,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.3,42,cpu,opencv_yunet,landmark,insightface,spectral,dct,0.16,2026-09-13T09:31:58.154024+00:00
watermark_robustness,angela_bassett_1.png,rotate_20,rotation,{'degrees': 20},True,0.889323,0.5,481157ba,True,False,35.8915,0.900467,12.0328,0.1.0,3bcc6070f94e514764d324e397d61505df92186c,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.3,42,cpu,opencv_yunet,landmark,insightface,spectral,dct,0.16,2026-09-13T09:31:58.154024+00:00
watermark_robustness,angela_bassett_1.png,rotate_25,rotation,{'degrees': 25},True,0.88151,0.421875,481157ba,True,False,35.8915,0.900467,11.5858,0.1.0,3bcc6070f94e514764d324e397d61505df92186c,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.3,42,cpu,opencv_yunet,landmark,insightface,spectral,dct,0.16,2026-09-13T09:31:58.154024+00:00
watermark_robustness,angela_bassett_1.png,rotate_30,rotation,{'degrees': 30},False,0.885417,0.484375,,False,False,35.8915,0.900467,11.3238,0.1.0,3bcc6070f94e514764d324e397d61505df92186c,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.3,42,cpu,opencv_yunet,landmark,insightface,spectral,dct,0.16,2026-09-13T09:31:58.154024+00:00
